file,transcript
audio_3.m4a," Ibercaja, La Caixa, Sabadell, Van Ginder y NG Direct."
audio_28.m4a," Pues los bancos que más escucho normalmente a diario pueden ser Santander, CaixaBank y BBVA."
audio_29.m4a," BBVA, Santander, CaixaBank, Ibercaja, Laboral, Kutscha y ya está."
audio_2.m4a," ¿Cuáles son los tres o cinco pangos que más escuchas en tu día a día? Pues Sanander, BBVA, ING, Hipercaja y CaixaBank."
audio_15.m4a," BBVA, Ibercaja, La Caixa."
audio_16.m4a," Santander, CaixaBank, Sabadell, BBVA, ING."
audio_5.m4a," CaixaBank, Banco Sabadell, BBVA, Banco Santander, Revolut."
audio_12.m4a," De los bancos que más escucho día a día serían Santander, Sabadell, CaixaBank y BBVA."
audio_13.m4a," Santander, ING, Caxabán"
audio_4.m4a," Bueno, yo creo que los bancos que más escucho en mi día a día son Banco Santander, BVA y probablemente la Caixa también."
audio_22.mp3," La Biblia No, ¿cómo coño era? No, ¿cómo coño era?"
audio_39.m4a, CaixaBank Santander BBVA
audio_6.m4a," CaixaBank, Banco Sabadell, BBVA y Banco Santander."
audio_11.m4a," De los bancos que más escucho en mi día a día son CaixaBank, ING, Revolut, Santander y creo que ya."
audio_10.m4a," Hipercaja, PPVA, La Caixa, Santander."
audio_38.m4a," BBVA, CaixaBank y Banc Santander."
audio_7.wav," Los bancos que más he escuchado han sido Revolut, Imagine, Sabadell y BBVA."
audio_14.wav, CaixaBank BBVA Santander Caja Rural ING
audio_1.wav," Después de los bancos, me los de BVA, CaixaBank, Ibercaja y Caja Rural, San Ander."
audio_40.m4a, Caixa Popular Cajamar Santander
audio_36.wav," Los bancos que más suelo escuchar son el BBVA, el Santander y el Deutsche Bank."
audio_21.m4a," La caixa BBVA Sabadell, Revolut ING."
audio_35.m4a," Santander, Sabadell, La Caixa, BBVA y Caja Rural."
audio_34.m4a," Los tres nombres de bancos que más suelo escuchar son CaixaBank, BBVA y Santander."
audio_20.m4a, La Caixa BBVA Unicaja LiberBank Santander
audio_9.m4a, BBVA Santander y CaixaBank
audio_8.m4a," Bueno, los bancos que más escucho son Santander, BBVA, Open Bank y Revolut. Principalmente son esos así en el día a día."
audio_23.m4a," Los bancos que más escucho en mi día a día yo diría que son Santander, BBVA, La Caixa, Sabadell quizás."
audio_37.m4a," Banco San Ander, Sabadell, CaixaBank, PWA y NG."
audio_33.m4a," Los bancos que más escucho son BBVA, CaixaBank y Santander."
audio_27.m4a," BBVA Santander, la caixa Sabadell."
audio_26.m4a," La CaixaBank, BBVA, Santander... ya está."
audio_32.m4a," La Caixa, Banco Santander, Banco Sabadell y BBVA."
audio_17.mp3," Los bancos de los que más escucho son el Santander, CaixaBank e ING."
audio_18.m4a," En mi día a día de los bancos que más oigo serían la Caixa, ING, BBVA y Santander."
audio_24.m4a," La Caixa, BBVA, Ibercaja, Santander."
audio_30.m4a, BBVA Santander y CaixaBank
audio_31.m4a," Pues ahora mismo, al encontrarme trabajando en el banco, te diría que Ibercaja, luego iríamos con el Santander, la Caixa, BBVA y porque tengo cerca también, pues ahora mismo el Banco Mars."
audio_25.m4a," BBVA Santander, CaixaBank, Sabadell y Vercaja."
audio_19.m4a," Los 3 a 5 bancos de los cuales más escucho cada día son Caixa, Evo, Trade Republic y creo que ING Directa."
